"","increasing_Bias","increasing_RMSE","increasing_SEM","increasing_PropError","equal_Bias","equal_RMSE","equal_SEM","equal_PropError","decreasing_Bias","decreasing_RMSE","decreasing_SEM","decreasing_PropError","Forward_Bias","Forward_RMSE","Forward_SEM","Forward_PropError","Backward_Bias","Backward_RMSE","Backward_SEM","Backward_PropError","Spiral_Bias","Spiral_RMSE","Spiral_SEM","Spiral_PropError","Random_Bias","Random_RMSE","Random_SEM","Random_PropError","information_Bias","information_RMSE","information_SEM","information_PropError","theta_Bias","theta_RMSE","theta_SEM","theta_PropError","NC_Bias","NC_RMSE","NC_SEM","NC_PropError"
"1-2-5",0.0577579966450452,0.485970294769268,0.670352486910191,0.0508694043655198,0.0627552662129226,0.512630634073157,0.806685025405372,0.0391822827938671,0.0809314126206491,0.529937901901163,1.07470213042119,0.0615643397813288,0.066534998305981,0.510858799498465,0.850625506681354,0.0407083716651334,0.0653003401000183,0.515453630556975,0.880819469378643,0.0471082089552239,0.0684838777506795,0.526643277110884,0.859590702392375,0.0600139567341242,0.069537136987698,0.488433615444107,0.834674939661468,0.0545963602426505,0.0762653897370894,0.467539463268909,0.950748823006507,0.0434528448947779,0.0601696585966385,0.443037235613674,0.849045260030684,0.0427493713327745,0.0671855644844934,0.598852435515118,0.784531821190006,0.0641737426518615
"1-3-5",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1-4-5",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1-2-6",-0.0143756091102535,0.207637259831516,0.198234875313953,0.856682769726248,-0.0203941048686686,0.197746295877558,0.194574913291447,0.625850340136054,-0.0142660231601356,0.201241105316037,0.200997940205184,0.548013245033113,-0.016625436538018,0.210109585161595,0.199238429985223,0.623376623376623,-0.0153786244104973,0.199181388098676,0.198307494434878,1,-0.0195835288927923,0.20168914622979,0.199291616631335,0.811659192825112,-0.0137416721532421,0.198068288015358,0.195260603952237,0.334702258726899,-0.0224950837645572,0.20803171721498,0.200348362811594,0.734141791044776,-0.00928535446809533,0.192937196978286,0.19331433149636,0.578125,0.0301609305994041,0.209737787503951,0.217565625994605,1
"1-3-6",-0.0177003068569582,0.392944601161538,0.574591623924718,0.570983810709838,-0.0135892532004091,0.283667238813195,0.246063341289684,0.514396887159533,-0.0126127561347786,0.221147509452748,0.198969778541159,0.402308326463314,-0.0146144652361441,0.2998223225356,0.326190437043933,0.628482972136223,-0.0297007766008905,0.300693732284758,0.32444938863787,0.350419384902144,-0.0193531680662845,0.317696281276779,0.344120333762859,0.368075117370892,0.00546972691162012,0.345603324719412,0.45098796388096,0.691073219658977,-0.031938760740421,0.333744447832218,0.454985426795513,0.384615384615385,-0.0271424330119761,0.274988372150769,0.269106116332639,0.504,0.0152394755565068,0.326891004841711,0.324912212203497,0.643013899049012
"1-4-6",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1-2-7",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1-3-7",-0.00211312273063603,0.211276729750286,0.198102253937386,0.601436265709156,-0.0202202949882251,0.229815164268856,0.201891539355629,0.564651162790698,-0.00881392932426311,0.192474224605331,0.192751144530747,0.538812785388128,-0.011825116258449,0.195085261362434,0.192823618165462,0.508536585365854,-0.0183526975833371,0.213397429878861,0.199189073572843,0.588661037394451,-0.0109571011166235,0.210927076421758,0.199019247923774,0.617328519855596,0.000341099766281273,0.226200212305605,0.199196162988179,0.558457711442786,-0.00011997548576295,0.188257724147509,0.178315928777172,0.621643612693247,-0.00471598539988377,0.187747402347238,0.177617455149218,0.585838991270611,-0.0280590406494686,0.25611595974506,0.240730416238993,0.4873046875
"1-4-7",-0.0192181741711644,0.204023933282432,0.190205855153504,0.720653789004458,0.00167641738460089,0.188187393338045,0.183686859338192,0.599085365853659,0.00199031635132101,0.187815990518909,0.184738562175884,0.586750788643533,-0.00280218527704447,0.2009145828397,0.187867290593402,0.725971370143149,-0.00486112813209382,0.184915600934979,0.186033741884299,0.791578947368421,-0.0181608893628094,0.199375373578768,0.189000855303206,0.791304347826087,0.00271071006299389,0.189441648428211,0.182667611742083,0.287569573283859,0.00191150083478892,0.191608213905311,0.186285189851197,0.637231503579952,-0.0159392552246274,0.195600913205031,0.184016077722301,0.616417910447761,-0.0637693443052014,0.225287489571708,0.227225359632676,1
"1-2-8",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1-3-8",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1-4-8",-0.158748886337349,0.535053238855265,0.679423787316759,0.037378640776699,-0.260368178855858,0.653116962314076,1.08179649040651,0.035096310806399,-0.310822696972113,0.709978204507223,1.24516479694685,0.0258634801113112,-0.242908668414334,0.637855235084573,0.985925460312579,0.0314397224631396,-0.240602404937136,0.635698703331686,1.022799092719,0.0216590859865714,-0.245004031586453,0.635996851195335,0.979272152155308,0.0334855403348554,-0.243507698594001,0.636649552762551,1.01582990812921,0.0446915195116634,-0.144359914517569,0.464125941769767,0.570854569672009,0.0218950547376368,-0.138549811402566,0.446523614238063,0.523570990574353,0.0457002457002457,-0.408476042685638,0.853101202233413,1.74156412476005,0.0298060467769538
